molecule,basis,run_label,distance,mapper,ansatz,reps,optimizer,max_iter,seed,energy,reference_energy,reference_method,abs_error_hartree,abs_error_kcal_mol,within_chemical_accuracy,eval_count,success,error,error_type,num_qubits,num_terms,constant_energy,total_experiment_s
BeH2,sto-3g,presentation_range_curve_sto3g,0.5,jw,puccsd,1,slsqp,100,137,-13.667084135359481,-13.667143209581804,CASCI,5.90742223227636e-05,0.037069606175535064,True,119,True,,,8,61,-8.661255831973534,10.43102950899629
BeH2,sto-3g,presentation_range_curve_sto3g,0.6076923076923076,jw,puccsd,1,slsqp,100,137,-14.428797437148058,-14.428850372766426,CASCI,5.293561836872129e-05,0.03321757694693793,True,145,True,,,8,61,-9.520852167981008,15.554236454991042
BeH2,sto-3g,presentation_range_curve_sto3g,0.6538461538461539,jw,puccsd,1,slsqp,100,137,-14.661756253669434,-14.661808505536197,CASCI,5.225186676227622e-05,0.03278851666012919,True,146,True,,,8,61,-9.798606762861983,11.431422293011565
BeH2,sto-3g,presentation_range_curve_sto3g,0.6565656565656566,jw,puccsd,1,slsqp,100,137,-14.674103544952935,-14.67415578254896,CASCI,5.223759602479561e-05,0.03277956164392347,True,146,True,,,8,61,-9.813717205401142,11.034277347993338
BeH2,sto-3g,presentation_range_curve_sto3g,0.7153846153846154,jw,puccsd,1,slsqp,100,137,-14.908584258184938,-14.908636374148202,CASCI,5.211596326404333e-05,0.032703235991856566,True,146,True,,,8,61,-10.11187280378127,10.686243973003002
BeH2,sto-3g,presentation_range_curve_sto3g,0.7196969696969697,jw,puccsd,1,slsqp,100,137,-14.9235279003472,-14.923580014061136,CASCI,5.211371393620823e-05,0.03270182451839609,True,146,True,,,8,61,-10.131786888621345,9.984440296000685
BeH2,sto-3g,presentation_range_curve_sto3g,0.7828282828282829,jw,puccsd,1,slsqp,100,137,-15.112508131498604,-15.112560125922348,CASCI,5.199442374426155e-05,0.03262696884933782,True,158,True,,,8,61,-10.398053044942653,10.641010496008676
BeH2,sto-3g,presentation_range_curve_sto3g,0.8076923076923077,jw,puccsd,1,slsqp,100,137,-15.173416166133196,-15.173426007815936,CASCI,9.841682739875068e-06,0.006175744494416264,True,264,True,,,8,61,-10.491474224863449,17.418994883002597
BeH2,sto-3g,presentation_range_curve_sto3g,0.8143939393939394,jw,puccsd,1,slsqp,100,137,-15.188667360006875,-15.188677315993386,CASCI,9.955986511656079e-06,0.006247471139942794,True,276,True,,,8,61,-10.515679694285096,18.128663290000986
BeH2,sto-3g,presentation_range_curve_sto3g,0.845959595959596,jw,puccsd,1,slsqp,100,137,-15.25444393927161,-15.254453168516935,CASCI,9.229245325315105e-06,0.005791434504843157,True,330,True,,,8,61,-10.624549131329037,21.672943876998033
