molecule,run_label,noise_source,backend_name,shots,basis,distance,mapper,ansatz,reps,optimizer,max_iter,seed,active_space,active_orbitals,freeze_core,energy,reference_energy,reference_method,fci_energy,abs_error_hartree,abs_error_kcal_mol,within_chemical_accuracy,vqe_raw_energy,eval_count,success,error,num_qubits,num_terms,constant_energy,setup_hamiltonian_s,vqe_execution_s,total_experiment_s
H2,statevector,,,,6-31g,0.35,jw,real_amplitudes,1,cobyla,100,137,null,null,False,-0.12538056769220352,-0.8356939275784783,FCI,-0.8356939275784783,0.7103133598862748,445.7280261488764,False,-1.637315456035061,100,True,,8,185,1.5119348883428574,0.6809676240081899,2.5103139440034283,3.1941800610075006
H2,statevector,,,,6-31g,0.35,jw,real_amplitudes,1,slsqp,100,137,null,null,False,0.33623039958461787,-0.8356939275784783,FCI,-0.8356939275784783,1.1719243271630961,735.3930626137873,False,-1.1757044887582395,289,True,,8,185,1.5119348883428574,0.734464637003839,6.727206343988655,7.464377926997258
H2,statevector,,,,6-31g,0.35,jw,real_amplitudes,1,spsa,100,137,null,null,False,-0.23956258819410592,-0.8356939275784783,FCI,-0.8356939275784783,0.5961313393843723,374.07778064574813,False,-1.7514974765369633,200,True,,8,185,1.5119348883428574,0.7345194460067432,4.481279825995443,5.218986209001741
H2,statevector,,,,6-31g,0.35,jw,real_amplitudes,2,cobyla,100,137,null,null,False,0.20480115759622608,-0.8356939275784783,FCI,-0.8356939275784783,1.0404950851747043,652.9200304028935,False,-1.3071337307466313,100,True,,8,185,1.5119348883428574,0.6543659640010446,2.3878939939895645,3.0448510620044544
H2,statevector,,,,6-31g,0.35,jw,real_amplitudes,2,slsqp,100,137,null,null,False,-0.8191545742145043,-0.8356939275784783,FCI,-0.8356939275784783,0.01653935336397394,10.378593090073924,False,-2.3310894625573617,702,True,,8,185,1.5119348883428574,0.7720623000059277,16.835579457998392,17.611342693999177
H2,statevector,,,,6-31g,0.35,jw,real_amplitudes,2,spsa,100,137,null,null,False,-0.20996344675949197,-0.8356939275784783,FCI,-0.8356939275784783,0.6257304808189863,392.6515082882413,False,-1.7218983351023494,200,True,,8,185,1.5119348883428574,0.9713406200025929,5.077346360994852,6.051565877001849
H2,statevector,,,,6-31g,0.35,jw,efficient_su2,1,cobyla,100,137,null,null,False,0.22721121550412393,-0.8356939275784783,FCI,-0.8356939275784783,1.0629051430826022,666.9825434306207,False,-1.2847236728387335,100,True,,8,185,1.5119348883428574,0.780357408002601,2.5233512679988053,3.3067892429971835
H2,statevector,,,,6-31g,0.35,jw,efficient_su2,1,slsqp,100,137,null,null,False,-0.8191561218688881,-0.8356939275784783,FCI,-0.8356939275784783,0.01653780570959018,10.377621923019225,False,-2.3310910102117455,926,True,,8,185,1.5119348883428574,0.6942486659972928,23.69645918799506,24.39391955701285
H2,statevector,,,,6-31g,0.35,jw,efficient_su2,1,spsa,100,137,null,null,False,-0.3016563756091315,-0.8356939275784783,FCI,-0.8356939275784783,0.5340375519693468,335.1133701987328,False,-1.8135912639519889,200,True,,8,185,1.5119348883428574,0.7903584669984411,5.457335997009068,6.2526038640062325
H2,statevector,,,,6-31g,0.35,jw,efficient_su2,2,cobyla,100,137,null,null,False,1.4361477948188552,-0.8356939275784783,FCI,-0.8356939275784783,2.2718417223973333,1425.6011273798283,False,-0.07578709352400215,100,True,,8,185,1.5119348883428574,1.3671528609993402,3.292807875011931,4.663341770006809
