molecule,basis,run_label,distance,mapper,ansatz,reps,optimizer,max_iter,seed,energy,reference_energy,reference_method,abs_error_hartree,abs_error_kcal_mol,within_chemical_accuracy,eval_count,success,error,error_type,num_qubits,num_terms,constant_energy,setup_hamiltonian_s,vqe_execution_s,total_experiment_s
H2,sto-3g,dense_curve_config_search_sto3g,0.34375,jw,real_amplitudes,1,cobyla,100,137,-0.7607081229725206,-0.7698493714067813,FCI,0.009141248434260785,5.7362156637345505,False,100,True,,,4,15,1.5394246135854546,0.22264148500107694,0.548172605005675,0.8304920759983361
H2,sto-3g,dense_curve_config_search_sto3g,0.34375,jw,real_amplitudes,1,slsqp,100,137,-0.7611468590540789,-0.7698493714067813,FCI,0.008702512352702474,5.460904823931977,False,100,True,,,4,15,1.5394246135854546,0.10853669900097884,0.42255157700856216,0.5369999800022924
H2,sto-3g,dense_curve_config_search_sto3g,0.34375,jw,real_amplitudes,1,spsa,100,137,-0.7610870888269805,-0.7698493714067813,FCI,0.008762282579800829,5.498411179368238,False,200,True,,,4,15,1.5394246135854546,0.15952080900024157,0.6085575059987605,0.7778199500025949
H2,sto-3g,dense_curve_config_search_sto3g,0.34375,jw,real_amplitudes,2,cobyla,100,137,-0.7602593857841555,-0.7698493714067813,FCI,0.009589985622625807,6.017802288068298,False,100,True,,,4,15,1.5394246135854546,0.0657818129984662,0.5271187050093431,0.5998999959992943
H2,sto-3g,dense_curve_config_search_sto3g,0.34375,jw,real_amplitudes,2,slsqp,100,137,-0.7611465431248023,-0.7698493714067813,FCI,0.008702828281978991,5.461103072396355,False,157,True,,,4,15,1.5394246135854546,0.07703582399699371,0.5691233179968549,0.652399268001318
H2,sto-3g,dense_curve_config_search_sto3g,0.34375,jw,real_amplitudes,2,spsa,100,137,-0.7609006728870058,-0.7698493714067813,FCI,0.008948698519775533,5.615388859445825,False,200,True,,,4,15,1.5394246135854546,0.10456223099026829,0.6199127879954176,0.7306451379990904
H2,sto-3g,dense_curve_config_search_sto3g,0.34375,jw,efficient_su2,1,cobyla,100,137,-0.7368483047179215,-0.7698493714067813,FCI,0.033001066688859826,20.70846635685974,False,100,True,,,4,15,1.5394246135854546,0.06684345699613914,0.513858259000699,0.5911230650090147
H2,sto-3g,dense_curve_config_search_sto3g,0.34375,jw,efficient_su2,1,slsqp,100,137,-0.7611466322468805,-0.7698493714067813,FCI,0.00870273915990083,5.46104714749021,False,239,True,,,4,15,1.5394246135854546,0.0658166950015584,0.9496989409963135,1.0225769029930234
H2,sto-3g,dense_curve_config_search_sto3g,0.34375,jw,efficient_su2,1,spsa,100,137,-0.26767090884331957,-0.7698493714067813,FCI,0.5021784625634618,315.12150486473536,False,200,True,,,4,15,1.5394246135854546,0.06661679899843875,0.6772480469953734,0.7509310860041296
H2,sto-3g,dense_curve_config_search_sto3g,0.34375,jw,efficient_su2,2,cobyla,100,137,-0.7273832529551119,-0.7698493714067813,FCI,0.04246611845166948,26.64787152348866,False,100,True,,,4,15,1.5394246135854546,0.0786370810092194,0.6309134649927728,0.7190523649915121
