molecule,basis,distance,mapper,ansatz,reps,optimizer,max_iter,seed,active_space,active_orbitals,freeze_core,energy,reference_energy,reference_method,fci_energy,abs_error_hartree,abs_error_kcal_mol,within_chemical_accuracy,vqe_raw_energy,eval_count,success,error,num_qubits,num_terms,constant_energy,setup_hamiltonian_s,vqe_execution_s,total_experiment_s
H2,sto-3g,0.35,jw,real_amplitudes,1,cobyla,250,137,null,null,False,-0.7804419454910139,-0.7892693924044141,FCI,-0.7892693924044141,0.008827446913400205,5.539302385180849,False,-2.2923768338338713,250,True,,4,15,1.5119348883428574,0.09070883499225602,1.3358083229977638,1.43111820500053
H2,sto-3g,0.35,jw,real_amplitudes,1,slsqp,250,137,null,null,False,-0.78045472455353,-0.7892693924044141,FCI,-0.7892693924044141,0.008814667850884028,5.531283408440386,False,-2.2923896128963874,99,True,,4,15,1.5119348883428574,0.09513577799953055,0.36784542800160125,0.46441918099299073
H2,sto-3g,0.35,jw,real_amplitudes,2,cobyla,250,137,null,null,False,-0.7804548992075906,-0.7892693924044141,FCI,-0.7892693924044141,0.00881449319682348,5.531173811445505,False,-2.292389787550448,219,True,,4,15,1.5119348883428574,0.07073022400436457,1.304133705998538,1.3763194609928178
H2,sto-3g,0.35,jw,real_amplitudes,2,slsqp,250,137,null,null,False,-0.7804548591169393,-0.7892693924044141,FCI,-0.7892693924044141,0.008814533287474724,5.531198968689977,False,-2.2923897474597967,158,True,,4,15,1.5119348883428574,0.09489085599489044,0.6418908679916058,0.7384885030041914
H2,sto-3g,0.35,jw,efficient_su2,1,cobyla,250,137,null,null,False,-0.7800565465952924,-0.7892693924044141,FCI,-0.7892693924044141,0.009212845809121628,5.781143660836104,False,-2.29199143493815,250,True,,4,15,1.5119348883428574,0.06842775500263087,1.443130319006741,1.5133850620040903
H2,sto-3g,0.35,jw,efficient_su2,1,slsqp,250,137,null,null,False,-0.7804546709043823,-0.7892693924044141,FCI,-0.7892693924044141,0.008814721500031819,5.531317073763467,False,-2.2923895592472396,188,True,,4,15,1.5119348883428574,0.06982356200751383,0.7839368190034293,0.8553505879972363
H2,sto-3g,0.35,jw,efficient_su2,2,cobyla,250,137,null,null,False,-0.7816153146589222,-0.7892693924044141,FCI,-0.7892693924044141,0.007654077745491872,4.803002671995859,False,-2.2935502030017796,250,True,,4,15,1.5119348883428574,0.0675088329880964,1.6416313469962915,1.7111502299958374
H2,sto-3g,0.35,jw,efficient_su2,2,slsqp,250,137,null,null,False,-0.7892691912826193,-0.7892693924044141,FCI,-0.7892693924044141,2.0112179477393965e-07,0.0001262057363168001,True,-2.3012040796254767,905,True,,4,15,1.5119348883428574,0.07562253999640234,4.449106355008553,4.526471698991372
H2,sto-3g,0.5,jw,real_amplitudes,1,cobyla,250,137,null,null,False,-1.0429962651972675,-1.0551597944706257,FCI,-1.0551597944706257,0.012163529273358176,7.6327240907957155,False,-2.1013506870372676,174,True,,4,15,1.05835442184,0.1652140980004333,0.8787659040099243,1.045493522004108
H2,sto-3g,0.5,jw,real_amplitudes,1,slsqp,250,137,null,null,False,-1.0429954814117914,-1.0551597944706257,FCI,-1.0551597944706257,0.012164313058834253,7.6332159232360235,False,-2.1013499032517915,108,True,,4,15,1.05835442184,0.06699871600721963,0.38343174500914756,0.4516398650011979
H2,sto-3g,0.5,jw,real_amplitudes,2,cobyla,250,137,null,null,False,-1.0429496592462437,-1.0551597944706257,FCI,-1.0551597944706257,0.012210135224381968,7.661969744516704,False,-2.101304081086244,250,True,,4,15,1.05835442184,0.147504692999064,1.3777462529978948,1.5265600480051944
H2,sto-3g,0.5,jw,real_amplitudes,2,slsqp,250,137,null,null,False,-1.0429962460493931,-1.0551597944706257,FCI,-1.0551597944706257,0.012163548421232573,7.632736106259231,False,-2.101350667889393,170,True,,4,15,1.05835442184,0.0634051980014192,0.6722888819931541,0.7370151430077385
H2,sto-3g,0.5,jw,efficient_su2,1,cobyla,250,137,null,null,False,-1.0429923105141865,-1.0551597944706257,FCI,-1.0551597944706257,0.012167483956439185,7.635205690021197,False,-2.1013467323541866,250,True,,4,15,1.05835442184,0.06369497400010005,1.4566787789954105,1.522022681994713
H2,sto-3g,0.5,jw,efficient_su2,1,slsqp,250,137,null,null,False,-1.0429906550373371,-1.0551597944706257,FCI,-1.0551597944706257,0.012169139433288567,7.636244516643476,False,-2.101345076877337,221,True,,4,15,1.05835442184,0.08341601799475029,1.0274318730080267,1.1126445889967727
H2,sto-3g,0.5,jw,efficient_su2,2,cobyla,250,137,null,null,False,-1.0423534016963363,-1.0551597944706257,FCI,-1.0551597944706257,0.01280639277428941,8.036126723401575,False,-2.1007078235363363,250,True,,4,15,1.05835442184,0.0973109289916465,1.6191614150011446,1.7185944660013774
H2,sto-3g,0.5,jw,efficient_su2,2,slsqp,250,137,null,null,False,-1.0551596327681494,-1.0551597944706257,FCI,-1.0551597944706257,1.6170247629787582e-07,0.00010146975919920376,True,-2.1135140546081495,953,True,,4,15,1.05835442184,0.07515632298600394,4.422778546999325,4.499749758004327
H2,sto-3g,0.65,jw,real_amplitudes,1,cobyla,250,137,null,null,False,-1.1129965448580756,-1.129904784322913,FCI,-1.129904784322913,0.016908239464837438,10.610072438340676,False,-1.927115330888845,250,True,,4,15,0.8141187860307693,0.1350619330041809,1.2439640910015441,1.3802135579899186
H2,sto-3g,0.65,jw,real_amplitudes,1,slsqp,250,137,null,null,False,-1.112996278285826,-1.129904784322913,FCI,-1.129904784322913,0.016908506037087045,10.610239714826456,False,-1.9271150643165953,135,True,,4,15,0.8141187860307693,0.06218168399936985,0.5114275149971945,0.5748974729940528
H2,sto-3g,0.65,jw,real_amplitudes,2,cobyla,250,137,null,null,False,-1.1129965406680604,-1.129904784322913,FCI,-1.129904784322913,0.01690824365485266,10.61007506761294,False,-1.9271153266988297,250,True,,4,15,0.8141187860307693,0.06252437699004076,1.3542168109997874,1.4180423520010663
H2,sto-3g,0.65,jw,real_amplitudes,2,slsqp,250,137,null,null,False,-1.1129961464063125,-1.129904784322913,FCI,-1.129904784322913,0.016908637916600577,10.610322470408112,False,-1.9271149324370818,195,True,,4,15,0.8141187860307693,0.06008936699072365,0.811510608997196,0.8729579270002432
H2,sto-3g,0.65,jw,efficient_su2,1,cobyla,250,137,null,null,False,-1.1129965440238103,-1.129904784322913,FCI,-1.129904784322913,0.01690824029910276,10.610072961849674,False,-1.9271153300545796,250,True,,4,15,0.8141187860307693,0.07991881300404202,1.3908648070064373,1.4722823439951753
H2,sto-3g,0.65,jw,efficient_su2,1,slsqp,250,137,null,null,False,-1.1129939431527116,-1.129904784322913,FCI,-1.129904784322913,0.016910841170201474,10.611705031871956,False,-1.9271127291834809,272,True,,4,15,0.8141187860307693,0.07036231199163012,1.112087111992878,1.1839300090068718
H2,sto-3g,0.65,jw,efficient_su2,2,cobyla,250,137,null,null,False,-1.1249819550036118,-1.129904784322913,FCI,-1.129904784322913,0.004922829319301325,3.0891197033254554,False,-1.939100741034381,250,True,,4,15,0.8141187860307693,0.13485910299641546,1.6725263940024888,1.8095733350055525
H2,sto-3g,0.65,jw,efficient_su2,2,slsqp,250,137,null,null,False,-1.1299043374925521,-1.129904784322913,FCI,-1.129904784322913,4.4683036093395856e-07,0.0002803900729593074,True,-1.9440231235233214,825,True,,4,15,0.8141187860307693,0.06331447999400552,4.262645658993279,4.328065818990581
H2,sto-3g,0.735,jw,real_amplitudes,1,cobyla,250,137,null,null,False,-1.1169989942544913,-1.1373060357534,FCI,-1.1373060357534,0.020307041498908607,12.742851303938641,False,-1.836967988703471,201,True,,4,15,0.7199689944489797,0.1631461459910497,1.1403876159893116,1.3048263719974784
H2,sto-3g,0.735,jw,real_amplitudes,1,slsqp,250,137,null,null,False,-1.1169987595149076,-1.1373060357534,FCI,-1.1373060357534,0.020307276238492378,12.742998605140114,False,-1.8369677539638871,144,True,,4,15,0.7199689944489797,0.07582936399558093,0.5779553499887697,0.6549460950045614
H2,sto-3g,0.735,jw,real_amplitudes,2,cobyla,250,137,null,null,False,-1.1169989941258844,-1.1373060357534,FCI,-1.1373060357534,0.02030704162751551,12.74285138464063,False,-1.836967988574864,237,True,,4,15,0.7199689944489797,0.08698343500145711,1.2739736209914554,1.3627998439915245
H2,sto-3g,0.735,jw,real_amplitudes,2,slsqp,250,137,null,null,False,-1.1169983933281662,-1.1373060357534,FCI,-1.1373060357534,0.020307642425233752,12.743228390616007,False,-1.836967387777146,221,True,,4,15,0.7199689944489797,0.06738352999673225,0.9069810059882002,0.9761727320001228
H2,sto-3g,0.735,jw,efficient_su2,1,cobyla,250,137,null,null,False,-1.1169989855776574,-1.1373060357534,FCI,-1.1373060357534,0.020307050175742525,12.742856748730016,False,-1.8369679800266372,250,True,,4,15,0.7199689944489797,0.08230295599787496,1.441907722997712,1.5257131380058127
