molecule,run_label,noise_source,backend_name,shots,basis,distance,mapper,ansatz,reps,optimizer,max_iter,seed,active_space,active_orbitals,freeze_core,energy,reference_energy,reference_method,fci_energy,abs_error_hartree,abs_error_kcal_mol,within_chemical_accuracy,vqe_raw_energy,eval_count,success,error,num_qubits,num_terms,constant_energy,setup_hamiltonian_s,vqe_execution_s,total_experiment_s
H2,statevector_physical_ansatz,,,,sto-3g,0.35,jw,uccsd,1,cobyla,250,137,null,null,False,-0.7892693907000197,-0.7892693924044141,FCI,-0.7892693924044141,1.704394403390097e-09,1.0695228276769165e-06,True,-2.301204279042877,77,True,,4,15,1.5119348883428574,0.7324058489903109,3.952512509000371,4.726485095990938
H2,statevector_physical_ansatz,,,,sto-3g,0.35,jw,uccsd,1,slsqp,250,137,null,null,False,-0.7892693387980982,-0.7892693924044141,FCI,-0.7892693924044141,5.3606315830734275e-08,3.363844564062823e-05,True,-2.3012042271409556,75,True,,4,15,1.5119348883428574,0.16027088699047454,3.5603338700020686,3.729524953989312
H2,statevector_physical_ansatz,,,,sto-3g,0.35,jw,puccsd,1,cobyla,250,137,null,null,False,-0.7892693826298143,-0.7892693924044141,FCI,-0.7892693924044141,9.774599796230632e-09,6.133649343532888e-06,True,-2.3012042709726717,39,True,,4,15,1.5119348883428574,0.20963245899474714,1.41959582499112,1.6372742990060942
H2,statevector_physical_ansatz,,,,sto-3g,0.35,jw,puccsd,1,slsqp,250,137,null,null,False,-0.7892692498295102,-0.7892693924044141,FCI,-0.7892693924044141,1.425749038830304e-07,8.946703536073653e-05,True,-2.3012041381723676,24,True,,4,15,1.5119348883428574,0.2102653769979952,0.8693803170026513,1.089475726999808
H2,statevector_physical_ansatz,,,,sto-3g,0.5,jw,uccsd,1,cobyla,250,137,null,null,False,-1.0551597909855481,-1.0551597944706257,FCI,-1.0551597944706257,3.485077559872707e-09,2.1869175345181623e-06,True,-2.113514212825548,73,True,,4,15,1.05835442184,0.12089500899310224,3.4609528809960466,3.5904092569981003
H2,statevector_physical_ansatz,,,,sto-3g,0.5,jw,uccsd,1,slsqp,250,137,null,null,False,-1.0551597616098467,-1.0551597944706257,FCI,-1.0551597944706257,3.286077898678741e-08,2.062043456121998e-05,True,-2.1135141834498468,43,True,,4,15,1.05835442184,0.16179614700376987,1.9715381720016012,2.1424993539985735
H2,statevector_physical_ansatz,,,,sto-3g,0.5,jw,puccsd,1,cobyla,250,137,null,null,False,-1.055159794122621,-1.0551597944706257,FCI,-1.0551597944706257,3.480047361392735e-10,2.183761039700194e-07,True,-2.113514215962621,38,True,,4,15,1.05835442184,0.14887157699558884,1.3927232269925298,1.54931558399403
H2,statevector_physical_ansatz,,,,sto-3g,0.5,jw,puccsd,1,slsqp,250,137,null,null,False,-1.055159733570558,-1.0551597944706257,FCI,-1.0551597944706257,6.090006765546718e-08,3.8215340554414556e-05,True,-2.113514155410558,21,True,,4,15,1.05835442184,0.18237013000180013,0.7214263220084831,0.9120115710102255
H2,statevector_physical_ansatz,,,,sto-3g,0.65,jw,uccsd,1,cobyla,250,137,null,null,False,-1.1299047747068818,-1.129904784322913,FCI,-1.129904784322913,9.616031304560124e-09,6.0341461878932194e-06,True,-1.944023560737651,97,True,,4,15,0.8141187860307693,0.13554472698888276,5.1321796139964135,5.276199632004136
H2,statevector_physical_ansatz,,,,sto-3g,0.65,jw,uccsd,1,slsqp,250,137,null,null,False,-1.1299046120827618,-1.129904784322913,FCI,-1.129904784322913,1.7224015125272274e-07,0.0001080822450724448,True,-1.944023398113531,56,True,,4,15,0.8141187860307693,0.2894167189951986,2.6956097060028696,2.996776152009261
H2,statevector_physical_ansatz,,,,sto-3g,0.65,jw,puccsd,1,cobyla,250,137,null,null,False,-1.1299047791800985,-1.129904784322913,FCI,-1.129904784322913,5.142814618608327e-09,3.227162458508293e-06,True,-1.9440235652108677,39,True,,4,15,0.8141187860307693,0.13826235600572545,1.3842648429999826,1.531019907008158
