molecule,basis,run_label,distance,mapper,ansatz,reps,optimizer,max_iter,seed,energy,reference_energy,reference_method,abs_error_hartree,abs_error_kcal_mol,within_chemical_accuracy,eval_count,success,error,error_type,num_qubits,num_terms,constant_energy,total_experiment_s
H2,sto-3g,presentation_range_curve_sto3g,0.34375,jw,puccsd,1,cobyla,100,137,-0.7698493641309538,-0.7698493714067813,FCI,7.27582749604494e-09,4.5656472362156645e-06,True,41,True,,,4,15,1.5394246135854546,0.9295225690002553
H2,sto-3g,presentation_range_curve_sto3g,0.3611111111111111,jw,puccsd,1,cobyla,100,137,-0.8214640367018076,-0.82146404338532,FCI,6.6835124101771726e-09,4.193964188997868e-06,True,45,True,,,4,15,1.4654138148553848,0.7354388700041454
H2,sto-3g,presentation_range_curve_sto3g,0.3784722222222222,jw,puccsd,1,cobyla,100,137,-0.8663768202758593,-0.8663768229948527,FCI,2.718993474815079e-09,1.7061928763877355e-06,True,42,True,,,4,15,1.3981929976601835,0.6448511500057066
H2,sto-3g,presentation_range_curve_sto3g,0.3958333333333333,jw,puccsd,1,cobyla,100,137,-0.905523343984282,-0.9055233445868996,FCI,6.026176224693813e-10,3.78147981658139e-07,True,42,True,,,4,15,1.3368687433768423,0.6537903209973592
H2,sto-3g,presentation_range_curve_sto3g,0.4131944444444444,jw,puccsd,1,cobyla,100,137,-0.9396806146894887,-0.93968061668291,FCI,1.9934213169037207e-09,1.250889817148937e-06,True,50,True,,,4,15,1.2806977877727732,0.6983506990072783
H2,sto-3g,presentation_range_curve_sto3g,0.4305555555555556,jw,puccsd,1,cobyla,100,137,-0.9694985617600433,-0.9694985682008432,FCI,6.440799893425719e-09,4.04165990032368e-06,True,43,True,,,4,15,1.2290567479432257,0.6303079570061527
H2,sto-3g,presentation_range_curve_sto3g,0.4479166666666667,jw,puccsd,1,cobyla,100,137,-0.9955245051554609,-0.9955245114890896,FCI,6.3336287325910234e-09,3.974409032359461e-06,True,48,True,,,4,15,1.181418889495814,0.6867629900079919
H2,sto-3g,presentation_range_curve_sto3g,0.4652777777777778,jw,puccsd,1,cobyla,100,137,-1.0182223152238339,-1.018222320144488,FCI,4.920654106399525e-09,3.0877547376526596e-06,True,41,True,,,4,15,1.137336095111642,0.5990817410056479
H2,sto-3g,presentation_range_curve_sto3g,0.4826388888888889,jw,puccsd,1,cobyla,100,137,-1.0379875982827336,-1.0379876019857897,FCI,3.703056083992351e-09,2.3237010202099564e-06,True,38,True,,,4,15,1.096424724783885,0.5787980799941579
H2,sto-3g,presentation_range_curve_sto3g,0.5,jw,puccsd,1,cobyla,100,137,-1.055159789165465,-1.0551597944706257,FCI,5.305160755142424e-09,3.3290361202986676e-06,True,41,True,,,4,15,1.05835442184,0.6132506309950259
H2,sto-3g,presentation_range_curve_sto3g,0.5173611111111112,jw,puccsd,1,cobyla,100,137,-1.0700318612596902,-1.0700318654370282,FCI,4.1773380310417e-09,2.6213172105209458e-06,True,40,True,,,4,15,1.0228391727849664,0.5925947859941516
H2,sto-3g,presentation_range_curve_sto3g,0.5347222222222222,jw,puccsd,1,cobyla,100,137,-1.082858125431827,-1.0828581304428724,FCI,5.011045356440036e-09,3.1444760605743304e-06,True,46,True,,,4,15,0.9896301087335065,0.7042406950058648
H2,sto-3g,presentation_range_curve_sto3g,0.5520833333333334,jw,puccsd,1,cobyla,100,137,-1.0938605731583806,-1.0938605757275708,FCI,2.569190193923987e-09,1.612189969399047e-06,True,42,True,,,4,15,0.9585096650626416,0.7035445980000077
H2,sto-3g,presentation_range_curve_sto3g,0.5694444444444444,jw,puccsd,1,cobyla,100,137,-1.1032339838024687,-1.1032339874089896,FCI,3.606520859733564e-09,2.263124298170549e-06,True,36,True,,,4,15,0.9292868094204878,0.5719175620033639
H2,sto-3g,presentation_range_curve_sto3g,0.5868055555555556,jw,puccsd,1,cobyla,100,137,-1.1111501182298653,-1.1111501225455815,FCI,4.315716228830979e-09,2.708150775037499e-06,True,42,True,,,4,15,0.9017931168340828,0.6451321019994793
H2,sto-3g,presentation_range_curve_sto3g,0.6041666666666667,jw,puccsd,1,cobyla,100,137,-1.1177611044062068,-1.1177611090905923,FCI,4.684385546127601e-09,2.939494089664985e-06,True,45,True,,,4,15,0.8758795215227586,0.6875041800085455
H2,sto-3g,presentation_range_curve_sto3g,0.6215277777777778,jw,puccsd,1,cobyla,100,137,-1.1232022214913737,-1.1232022247277968,FCI,3.2364231294934598e-09,2.0308846415653115e-06,True,41,True,,,4,15,0.8514136131003353,0.6515797290048795
H2,sto-3g,presentation_range_curve_sto3g,0.6388888888888888,jw,puccsd,1,cobyla,100,137,-1.12759417053734,-1.1275941758051595,FCI,5.2678195139321815e-09,3.3056041553680694e-06,True,42,True,,,4,15,0.8282773736139132,0.6619698529975722
H2,sto-3g,presentation_range_curve_sto3g,0.65625,jw,puccsd,1,cobyla,100,137,-1.1310449715992368,-1.1310449748008782,FCI,3.201641396444188e-09,2.009058791041296e-06,True,45,True,,,4,15,0.8063652737828573,1.3372814920003293
H2,sto-3g,presentation_range_curve_sto3g,0.6736111111111112,jw,puccsd,1,cobyla,100,137,-1.133651494795688,-1.1336514963965718,FCI,1.6008838699121952e-09,1.0045690363247317e-06,True,43,True,,,4,15,0.7855826636338145,1.0437640079908306
H2,sto-3g,presentation_range_curve_sto3g,0.6909722222222222,jw,puccsd,1,cobyla,100,137,-1.135500771915782,-1.1355007772141357,FCI,5.298353755733842e-09,3.3247646669067876e-06,True,39,True,,,4,15,0.7658444057535679,0.7480866230034735
H2,sto-3g,presentation_range_curve_sto3g,0.7083333333333334,jw,puccsd,1,cobyla,100,137,-1.136671110407526,-1.1366711118478197,FCI,1.4402936621138451e-09,9.037972356193968e-07,True,47,True,,,4,15,0.7470737095341177,1.3712739379989216
H2,sto-3g,presentation_range_curve_sto3g,0.7256944444444444,jw,puccsd,1,cobyla,100,137,-1.1372329853982686,-1.1372329874715958,FCI,2.0733272876327646e-09,1.3010315329351485e-06,True,45,True,,,4,15,0.7292011327510048,0.8636061520082876
H2,sto-3g,presentation_range_curve_sto3g,0.7430555555555556,jw,puccsd,1,cobyla,100,137,-1.13724988745108,-1.13724989065647,FCI,3.2053901755091374e-09,2.0114111836435633e-06,True,42,True,,,4,15,0.7121637231072898,0.913553149002837
H2,sto-3g,presentation_range_curve_sto3g,0.7604166666666667,jw,puccsd,1,cobyla,100,137,-1.1367790088503906,-1.1367790128269968,FCI,3.9766061554757925e-09,2.495356152016459e-06,True,39,True,,,4,15,0.6959042773742465,1.0302760579943424
H2,sto-3g,presentation_range_curve_sto3g,0.7777777777777778,jw,puccsd,1,cobyla,100,137,-1.1358718720020031,-1.1358718748196397,FCI,2.8176365685084193e-09,1.7680923054681496e-06,True,37,True,,,4,15,0.6803706997542858,0.6829552379931556
H2,sto-3g,presentation_range_curve_sto3g,0.7951388888888888,jw,puccsd,1,cobyla,100,137,-1.13457488385025,-1.1345748861166038,FCI,2.2663537713185633e-09,1.4221573886863403e-06,True,36,True,,,4,15,0.6655154443011354,0.7129994709976017
H2,sto-3g,presentation_range_curve_sto3g,0.8125,jw,puccsd,1,cobyla,100,137,-1.1329298487008321,-1.132929850381883,FCI,1.6810508540743285e-09,1.054874540389328e-06,True,43,True,,,4,15,0.6512950288246154,0.7424387880018912
H2,sto-3g,presentation_range_curve_sto3g,0.8298611111111112,jw,puccsd,1,cobyla,100,137,-1.1309744251611151,-1.13097442579796,FCI,6.368447991178527e-10,3.9962584304964465e-07,True,43,True,,,4,15,0.6376696098115482,0.7255371960054617
H2,sto-3g,presentation_range_curve_sto3g,0.8472222222222222,jw,puccsd,1,cobyla,100,137,-1.128742545479966,-1.128742546284883,FCI,8.049170219237567e-10,5.050926755103547e-07,True,38,True,,,4,15,0.6246026096104919,0.6480056500004139
H2,sto-3g,presentation_range_curve_sto3g,0.8645833333333334,jw,puccsd,1,cobyla,100,137,-1.1262648049746515,-1.126264807866138,FCI,2.8914863836604354e-09,1.8144337291243762e-06,True,41,True,,,4,15,0.6120603885339759,0.8192540580057539
H2,sto-3g,presentation_range_curve_sto3g,0.8819444444444444,jw,puccsd,1,cobyla,100,137,-1.1235688210781745,-1.1235688231374552,FCI,2.059280745925207e-09,1.292217201594781e-06,True,38,True,,,4,15,0.6000119556888189,0.8792435869982
H2,sto-3g,presentation_range_curve_sto3g,0.8993055555555556,jw,puccsd,1,cobyla,100,137,-1.1206795454612637,-1.120679545896428,FCI,4.351643489997059e-10,2.7306954547645644e-07,True,35,True,,,4,15,0.5884287133010039,0.6606778249988565
H2,sto-3g,presentation_range_curve_sto3g,0.9166666666666669,jw,puccsd,1,cobyla,100,137,-1.1176195634812531,-1.117619567423187,FCI,3.941933890416749e-09,2.4735989936415237e-06,True,35,True,,,4,15,0.5772842300945454,0.6596642700023949
H2,sto-3g,presentation_range_curve_sto3g,0.9340277777777778,jw,puccsd,1,cobyla,100,137,-1.1144093809928535,-1.1144093855869035,FCI,4.594050029282926e-09,2.8828077398252993e-06,True,43,True,,,4,15,0.5665540399440893,0.7099321989953751
H2,sto-3g,presentation_range_curve_sto3g,0.951388888888889,jw,puccsd,1,cobyla,100,137,-1.1110676449325512,-1.1110676478228751,FCI,2.890323980153653e-09,1.8137043104622386e-06,True,39,True,,,4,15,0.5562154625728467,1.071624788994086
H2,sto-3g,presentation_range_curve_sto3g,0.96875,jw,puccsd,1,cobyla,100,137,-1.1076113661391316,-1.1076113690244067,FCI,2.8852751299268675e-09,1.8105361115052788e-06,True,48,True,,,4,15,0.5462474435303226,1.1729839019972133
H2,sto-3g,presentation_range_curve_sto3g,0.9861111111111112,jw,puccsd,1,cobyla,100,137,-1.104056124352296,-1.1040561254728218,FCI,1.120525894293678e-09,7.031400834023316e-07,True,47,True,,,4,15,0.5366304110738028,0.7529726609936915
H2,sto-3g,presentation_range_curve_sto3g,1.0034722222222223,jw,puccsd,1,cobyla,100,137,-1.100416226012317,-1.1004162260518249,FCI,3.950795246510097e-11,2.4791595743423045e-08,True,45,True,,,4,15,0.527346147906436,0.8293537990102777
H2,sto-3g,presentation_range_curve_sto3g,1.0208333333333337,jw,puccsd,1,cobyla,100,137,-1.0967048589870538,-1.0967048621260458,FCI,3.1389919552538004e-09,1.969745702849357e-06,True,42,True,,,4,15,0.5183776760032652,0.7124129020085093
H2,sto-3g,presentation_range_curve_sto3g,1.0381944444444444,jw,puccsd,1,cobyla,100,137,-1.0929342350874194,-1.0929342375893212,FCI,2.5019017968475055e-09,1.5699658946379814e-06,True,43,True,,,4,15,0.5097091529931773,0.7234741640131688
H2,sto-3g,presentation_range_curve_sto3g,1.0555555555555556,jw,puccsd,1,cobyla,100,137,-1.0891156802617052,-1.089115680691124,FCI,4.294187228026658e-10,2.6946411332717804e-07,True,38,True,,,4,15,0.5013257787663158,0.7568414579873206
H2,sto-3g,presentation_range_curve_sto3g,1.0729166666666667,jw,puccsd,1,cobyla,100,137,-1.0852597389180356,-1.085259739315379,FCI,3.973432693982204e-10,2.493364776368079e-07,True,39,True,,,4,15,0.49321371114873785,0.9993390809977427
H2,sto-3g,presentation_range_curve_sto3g,1.0902777777777777,jw,puccsd,1,cobyla,100,137,-1.081376248724724,-1.08137626142011,FCI,1.2695385853689345e-08,7.966468881662747e-06,True,43,True,,,4,15,0.48535998963363064,0.6644254970015027
H2,sto-3g,presentation_range_curve_sto3g,1.1076388888888888,jw,puccsd,1,cobyla,100,137,-1.0774744585923157,-1.077474462338741,FCI,3.746425170092493e-09,2.3509155120595703e-06,True,39,True,,,4,15,0.4777524662851412,0.5559243650059216
H2,sto-3g,presentation_range_curve_sto3g,1.125,jw,puccsd,1,cobyla,100,137,-1.073562979745828,-1.0735629806041145,FCI,8.582865529405126e-10,5.385825365491482e-07,True,45,True,,,4,15,0.47037974304,0.6257342090102611
H2,sto-3g,presentation_range_curve_sto3g,1.1423611111111112,jw,puccsd,1,cobyla,100,137,-1.0696499205229724,-1.0696499238843216,FCI,3.361349198982566e-09,2.109276874504351e-06,True,39,True,,,4,15,0.46323111472632217,0.5801419039926259
H2,sto-3g,presentation_range_curve_sto3g,1.1597222222222223,jw,puccsd,1,cobyla,100,137,-1.0657429063856634,-1.0657429065238306,FCI,1.3816725541460073e-10,8.670119627796069e-08,True,44,True,,,4,15,0.4562965172004791,0.6457689669914544
H2,sto-3g,presentation_range_curve_sto3g,1.1770833333333337,jw,puccsd,1,cobyla,100,137,-1.061849077831865,-1.0618490800679754,FCI,2.2361104079493543e-09,1.4031794059818915e-06,True,47,True,,,4,15,0.4495664800736282,0.6682808210025541
H2,sto-3g,presentation_range_curve_sto3g,1.1944444444444446,jw,puccsd,1,cobyla,100,137,-1.0579751573868905,-1.057975158021057,FCI,6.34166497093247e-10,3.9794518442448637e-07,True,40,True,,,4,15,0.44303208356093016,0.5765474780055229
H2,sto-3g,presentation_range_curve_sto3g,1.2118055555555556,jw,puccsd,1,cobyla,100,137,-1.054127434784644,-1.054127435953474,FCI,1.1688299217382792e-09,7.334512953600659e-07,True,43,True,,,4,15,0.43668491904000006,0.6356299600010971
H2,sto-3g,presentation_range_curve_sto3g,1.2291666666666667,jw,puccsd,1,cobyla,100,137,-1.0503118070353659,-1.0503118079366447,FCI,9.012788293460972e-10,5.655605769241401e-07,True,47,True,,,4,15,0.43051705295186443,0.7367979730042862
H2,sto-3g,presentation_range_curve_sto3g,1.2465277777777777,jw,puccsd,1,cobyla,100,137,-1.0465337787548425,-1.0465337801503187,FCI,1.3954761790557768e-09,8.756738616431114e-07,True,48,True,,,4,15,0.42452099371855156,0.7259936440095771
H2,sto-3g,presentation_range_curve_sto3g,1.2638888888888888,jw,puccsd,1,cobyla,100,137,-1.0427984816938478,-1.042798482378854,FCI,6.85006273926092e-10,4.298476019450881e-07,True,41,True,,,4,15,0.4186896613872528,0.6385973650030792
