molecule,run_label,noise_source,backend_name,shots,basis,distance,mapper,ansatz,reps,optimizer,max_iter,seed,active_space,active_orbitals,freeze_core,energy,reference_energy,reference_method,fci_energy,abs_error_hartree,abs_error_kcal_mol,within_chemical_accuracy,vqe_raw_energy,eval_count,success,error,error_type,num_qubits,num_terms,constant_energy,setup_hamiltonian_s,vqe_execution_s,total_experiment_s
Li2O_linear,statevector_physical_ansatz,,,,6-31g,1.2,jw,uccsd,1,cobyla,100,137,"[4, 4]","[0, 1, 2, 3]",True,,-89.5089508429813,CASCI,-89.5089508429813,,,,,0,False,"The number of spatial orbitals 4must be greater than number of particles of any spin kind (4, 4).",ValueError,8,61,-68.19408917468365,1.4930069769907277,,1.5387573229963891
Li2O_linear,statevector_physical_ansatz,,,,6-31g,1.2,jw,puccsd,1,cobyla,100,137,"[4, 4]","[0, 1, 2, 3]",True,-89.50894535191739,-89.5089508429813,CASCI,-89.5089508429813,5.4910639164518216e-06,0.003445692027148766,True,-21.314856177233764,96,True,,,8,61,-68.19408917468363,1.3323872099863365,14.170464130991604,16.196142032000353
Li2O_linear,statevector_physical_ansatz,,,,6-31g,1.5,jw,uccsd,1,cobyla,100,137,"[4, 4]","[0, 1, 2, 3]",True,,-89.75092203081452,CASCI,-89.75092203081452,,,,,0,False,"The number of spatial orbitals 4must be greater than number of particles of any spin kind (4, 4).",ValueError,8,61,-69.17596908082241,1.6362937539961422,,1.6470877300016582
Li2O_linear,statevector_physical_ansatz,,,,6-31g,1.5,jw,puccsd,1,cobyla,100,137,"[4, 4]","[0, 1, 2, 3]",True,-89.7509137539029,-89.75092203081452,CASCI,-89.75092203081452,8.27691161475741e-06,0.005193836530464808,True,-20.574944673080463,95,True,,,8,61,-69.17596908082244,2.043550178001169,16.231776630011154,19.012885534000816
Li2O_linear,statevector_physical_ansatz,,,,6-31g,1.8,jw,uccsd,1,cobyla,100,137,"[4, 4]","[0, 1, 2, 3]",True,,-89.7437358268947,CASCI,-89.7437358268947,,,,,0,False,"The number of spatial orbitals 4must be greater than number of particles of any spin kind (4, 4).",ValueError,8,61,-69.894431281652,1.5361915950052207,,1.5755884749960387
Li2O_linear,statevector_physical_ansatz,,,,6-31g,1.8,jw,puccsd,1,cobyla,100,137,"[4, 4]","[0, 1, 2, 3]",True,-89.74372581389088,-89.7437358268947,CASCI,-89.7437358268947,1.0013003830522393e-05,0.006283250020687276,True,-19.84929453223885,88,True,,,8,61,-69.89443128165202,0.9674887980072526,11.91891605699493,13.453946116002044
Li2O_linear,statevector_physical_ansatz,,,,6-31g,2.1,jw,uccsd,1,cobyla,100,137,"[4, 4]","[0, 1, 2, 3]",True,,-89.67770846414739,CASCI,-89.67770846414739,,,,,0,False,"The number of spatial orbitals 4must be greater than number of particles of any spin kind (4, 4).",ValueError,8,61,-70.41874735736624,1.6169223280012375,,1.6293865430052392
Li2O_linear,statevector_physical_ansatz,,,,6-31g,2.1,jw,puccsd,1,cobyla,100,137,"[4, 4]","[0, 1, 2, 3]",True,-89.67769649432374,-89.67770846414739,CASCI,-89.67770846414739,1.1969823646040822e-05,0.007511172066303431,True,-19.258949136957497,94,True,,,8,61,-70.41874735736624,1.7580577350017847,12.616139705991372,14.857425351001439
Li2O_linear,statevector_physical_ansatz,,,,6-31g,2.4,jw,uccsd,1,cobyla,100,137,"[4, 4]","[0, 1, 2, 3]",True,,-89.60863356038278,CASCI,-89.60863356038278,,,,,0,False,"The number of spatial orbitals 4must be greater than number of particles of any spin kind (4, 4).",ValueError,8,61,-70.81358572161544,1.2561363260028884,,1.2692340869980399
Li2O_linear,statevector_physical_ansatz,,,,6-31g,2.4,jw,puccsd,1,cobyla,100,137,"[4, 4]","[0, 1, 2, 3]",True,-89.60783826519476,-89.60863356038278,CASCI,-89.60863356038278,0.000795295188027012,0.4990548881436423,True,-18.79425254357932,100,True,,,8,61,-70.81358572161544,1.5870167770044645,13.681416692998027,15.738970502003212
Li2O_linear,statevector_physical_ansatz,,,,6-31g,2.8,jw,uccsd,1,cobyla,100,137,"[4, 4]","[0, 1, 2, 3]",True,,-89.5595645269534,CASCI,-89.5595645269534,,,,,0,False,"The number of spatial orbitals 4must be greater than number of particles of any spin kind (4, 4).",ValueError,8,61,-71.20885300228247,2.0566932009969605,,2.073235099989688
Li2O_linear,statevector_physical_ansatz,,,,6-31g,2.8,jw,puccsd,1,cobyla,100,137,"[4, 4]","[0, 1, 2, 3]",True,-89.54030688607534,-89.5595645269534,CASCI,-89.5595645269534,0.019257640878052484,12.084342969745837,False,-18.33145388379289,94,True,,,8,61,-71.20885300228245,2.1839072259899694,12.729327605993603,15.449347529996885
Li2O_linear,statevector_physical_ansatz,,,,6-31g,3.2,jw,uccsd,1,cobyla,100,137,"[4, 4]","[0, 1, 2, 3]",True,,-89.53717903832663,CASCI,-89.53717903832663,,,,,0,False,"The number of spatial orbitals 4must be greater than number of particles of any spin kind (4, 4).",ValueError,8,61,-71.50480411578988,1.5609811900067143,,1.587690512998961
Li2O_linear,statevector_physical_ansatz,,,,6-31g,3.2,jw,puccsd,1,cobyla,100,137,"[4, 4]","[0, 1, 2, 3]",True,-89.50130439134222,-89.53717903832663,CASCI,-89.53717903832663,0.035874646984410674,22.511663854540558,False,-17.996500275552336,100,True,,,8,61,-71.50480411578988,1.4575251589994878,13.510207266008365,15.474005506010144
