molecule,run_label,noise_source,backend_name,shots,basis,distance,mapper,ansatz,reps,optimizer,max_iter,seed,active_space,active_orbitals,freeze_core,energy,reference_energy,reference_method,fci_energy,abs_error_hartree,abs_error_kcal_mol,within_chemical_accuracy,vqe_raw_energy,eval_count,success,error,num_qubits,num_terms,constant_energy,setup_hamiltonian_s,vqe_execution_s,total_experiment_s
LiH,statevector,,,,6-31g,1.0,jw,real_amplitudes,1,cobyla,100,137,"[2, 3]","[0, 1, 2]",True,-7.845201871214901,-7.871574302532775,CASCI,-7.871574302532775,0.026372431317873257,16.54893800384733,False,-1.1369088175080384,100,True,,6,62,-6.708293053706863,1.2467698469990864,1.5338870129926363,2.7834769409964792
LiH,statevector,,,,6-31g,1.0,jw,real_amplitudes,1,slsqp,100,137,"[2, 3]","[0, 1, 2]",True,-7.862198986977702,-7.871574302532775,CASCI,-7.871574302532775,0.009375315555073094,5.883094888648362,False,-1.1539059332708366,563,True,,6,62,-6.708293053706865,0.40720469399821013,5.946877667010995,6.356736843998078
LiH,statevector,,,,6-31g,1.0,jw,real_amplitudes,1,spsa,100,137,"[2, 3]","[0, 1, 2]",True,-7.77734517614569,-7.871574302532775,CASCI,-7.871574302532775,0.09422912638708425,59.12962487003285,False,-1.0690521224388287,200,True,,6,62,-6.7082930537068615,0.36414649499056395,2.0841738909948617,2.4504478970047785
LiH,statevector,,,,6-31g,1.0,jw,real_amplitudes,2,cobyla,100,137,"[2, 3]","[0, 1, 2]",True,-7.865263899076304,-7.871574302532775,CASCI,-7.871574302532775,0.006310403456470937,3.959834962566621,False,-1.1569708453694425,100,True,,6,62,-6.7082930537068615,0.4245859849906992,1.3263900500023738,1.7535263799945824
LiH,statevector,,,,6-31g,1.0,jw,real_amplitudes,2,slsqp,100,137,"[2, 3]","[0, 1, 2]",True,-7.871354452290346,-7.871574302532775,CASCI,-7.871574302532775,0.00021985024242887619,0.13795800577630166,True,-1.1630613985834848,742,True,,6,62,-6.7082930537068615,0.4197189010010334,8.548409049006295,8.970986452011857
LiH,statevector,,,,6-31g,1.0,jw,real_amplitudes,2,spsa,100,137,"[2, 3]","[0, 1, 2]",True,-7.862265091172814,-7.871574302532775,CASCI,-7.871574302532775,0.009309211359960656,5.841613911277552,False,-1.1539720374659503,200,True,,6,62,-6.708293053706863,0.4233831749879755,2.2330605250026565,2.659402785997372
LiH,statevector,,,,6-31g,1.0,jw,efficient_su2,1,cobyla,100,137,"[2, 3]","[0, 1, 2]",True,-7.749962469030961,-7.871574302532775,CASCI,-7.871574302532775,0.12161183350181393,76.31252002888975,False,-1.0416694153240993,100,True,,6,62,-6.7082930537068615,0.4219841500016628,1.3737062989966944,1.7998101559933275
LiH,statevector,,,,6-31g,1.0,jw,efficient_su2,1,slsqp,100,137,"[2, 3]","[0, 1, 2]",True,-7.87135520830876,-7.871574302532775,CASCI,-7.871574302532775,0.00021909422401478196,0.13748359741729183,True,-1.1630621546019024,950,True,,6,62,-6.708293053706858,0.3970401380065596,11.907703400007449,12.307786720004515
LiH,statevector,,,,6-31g,1.0,jw,efficient_su2,1,spsa,100,137,"[2, 3]","[0, 1, 2]",True,-7.7717682730384965,-7.871574302532775,CASCI,-7.871574302532775,0.09980602949427819,62.62918176192502,False,-1.0634752193316368,200,True,,6,62,-6.70829305370686,0.3619939680065727,2.2064537950063823,2.5715500590013107
LiH,statevector,,,,6-31g,1.0,jw,efficient_su2,2,cobyla,100,137,"[2, 3]","[0, 1, 2]",True,-7.794707777044106,-7.871574302532775,CASCI,-7.871574302532775,0.07686652548866846,48.234436542868856,False,-1.0864147233372443,100,True,,6,62,-6.7082930537068615,0.377372208997258,1.4424681770033203,1.823278992989799
