distance,energy,method,n_orbitals,n_electrons,timestamp
1.0,-7.76862176803279,CASCI,6,4,1779034444.2138531
1.2,-7.836736441317111,CASCI,6,4,1779034444.2741382
1.4,-7.861597607226823,CASCI,6,4,1779034444.328637
1.5949,-7.86308084024789,CASCI,6,4,1779034444.3873873
1.8,-7.851143461071097,CASCI,6,4,1779034444.4467406
2.1,-7.821255760001567,CASCI,6,4,1779034444.5033288
2.4,-7.785972909967919,CASCI,6,4,1779034444.563415
2.8,-7.742345918853201,CASCI,6,4,1779034444.6160398
3.2,-7.7192391803996,CASCI,6,4,1779034444.674024
2.2,-7.809724128533285,CASCI,6,4,1779049982.3808985
