molecule,basis,run_label,distance,mapper,ansatz,reps,optimizer,max_iter,seed,energy,reference_energy,reference_method,abs_error_hartree,abs_error_kcal_mol,within_chemical_accuracy,eval_count,success,error,error_type,num_qubits,num_terms,constant_energy,setup_hamiltonian_s,vqe_execution_s,total_experiment_s
LiH,sto-3g,dense_curve_config_search_sto3g,0.8125,jw,real_amplitudes,1,cobyla,100,137,-7.493874855017982,-7.630491850421455,CASCI,0.1366169954034735,85.72839416863825,False,100,True,,,6,62,-6.494456033402374,0.3232985210051993,0.7827212760021212,1.1135974930075463
LiH,sto-3g,dense_curve_config_search_sto3g,0.8125,jw,real_amplitudes,1,slsqp,100,137,-7.62891959634984,-7.630491850421455,CASCI,0.0015722540716147648,0.9866035802249095,True,445,True,,,6,62,-6.494456033402388,0.17294585700437892,2.7797718140063807,2.958725538002909
LiH,sto-3g,dense_curve_config_search_sto3g,0.8125,jw,real_amplitudes,1,spsa,100,137,-7.5631483541628635,-7.630491850421455,CASCI,0.0673434962585917,42.258649993732625,False,200,True,,,6,62,-6.4944560334024715,0.22654893400613219,1.1046270020015072,1.3414131040044595
LiH,sto-3g,dense_curve_config_search_sto3g,0.8125,jw,real_amplitudes,2,cobyla,100,137,-7.569043319374051,-7.630491850421455,CASCI,0.061448531047403776,38.5595062690253,False,100,True,,,6,62,-6.4944560334024,0.183261815996957,0.8135538880014792,1.0043293549970258
LiH,sto-3g,dense_curve_config_search_sto3g,0.8125,jw,real_amplitudes,2,slsqp,100,137,-7.630350181872265,-7.630491850421455,CASCI,0.00014166854919039906,0.08889828963391813,True,1414,True,,,6,62,-6.4944560334023915,0.17211464799765963,9.342883151999558,9.522577915995498
LiH,sto-3g,dense_curve_config_search_sto3g,0.8125,jw,real_amplitudes,2,spsa,100,137,-7.616849848627825,-7.630491850421455,CASCI,0.013642001793630065,8.560478903519009,False,200,True,,,6,62,-6.494456033402393,0.2789483380038291,1.2437789940013317,1.5305720520118484
LiH,sto-3g,dense_curve_config_search_sto3g,0.8125,jw,efficient_su2,1,cobyla,100,137,-7.497330204901951,-7.630491850421455,CASCI,0.13316164551950394,83.56013101829839,False,100,True,,,6,62,-6.494456033402427,0.17424213900812902,0.8368742930033477,1.0197275609971257
LiH,sto-3g,dense_curve_config_search_sto3g,0.8125,jw,efficient_su2,1,slsqp,100,137,-7.628921948119594,-7.630491850421455,CASCI,0.0015699023018616032,0.9851278235388727,True,852,True,,,6,62,-6.494456033402447,0.17351742199389264,5.788473224005429,5.970782781005255
LiH,sto-3g,dense_curve_config_search_sto3g,0.8125,jw,efficient_su2,1,spsa,100,137,-7.497800827318101,-7.630491850421455,CASCI,0.13269102310335423,83.26481121656272,False,200,True,,,6,62,-6.494456033402443,0.27767196101194713,1.2370340850029606,1.5245266359997913
LiH,sto-3g,dense_curve_config_search_sto3g,0.8125,jw,efficient_su2,2,cobyla,100,137,-7.48504447632283,-7.630491850421455,CASCI,0.14544737409862485,91.26953627325398,False,100,True,,,6,62,-6.494456033402447,0.19989461099612527,0.8742124729906209,1.0863769379939185
LiH,sto-3g,dense_curve_config_search_sto3g,0.8125,jw,efficient_su2,2,slsqp,100,137,-7.630324079101145,-7.630491850421455,CASCI,0.000167771320310095,0.10527801343646741,True,1593,True,,,6,62,-6.494456033402418,0.17551122599979863,12.07884878400364,12.265607036999427
LiH,sto-3g,dense_curve_config_search_sto3g,0.8125,jw,efficient_su2,2,spsa,100,137,-7.589688402816337,-7.630491850421455,CASCI,0.04080344760511778,25.604530603239855,False,200,True,,,6,62,-6.49445603340239,0.32266961800633,1.4639471779955784,1.7990406309982063
LiH,sto-3g,dense_curve_config_search_sto3g,0.8125,jw,uccsd,1,cobyla,100,137,-7.629965677124039,-7.630491850421455,CASCI,0.0005261732974162214,0.3301784796883557,True,100,True,,,6,62,-6.494456033402393,0.16834215000562835,4.300314676002017,4.596277397009544
LiH,sto-3g,dense_curve_config_search_sto3g,0.8125,jw,uccsd,1,slsqp,100,137,-7.630479601614066,-7.630491850421455,CASCI,1.2248807388814953e-05,0.007686236875747882,True,157,True,,,6,62,-6.49445603340245,0.35652954400575254,6.696141405001981,7.191377461000229
LiH,sto-3g,dense_curve_config_search_sto3g,0.8125,jw,uccsd,1,spsa,100,137,-7.627893301441417,-7.630491850421455,CASCI,0.0025985489800381956,1.630612871914788,False,200,True,,,6,62,-6.494456033402434,0.17362812400097027,10.994038566001109,11.308552096001222
LiH,sto-3g,dense_curve_config_search_sto3g,0.8125,jw,puccsd,1,cobyla,100,137,-7.630491844365196,-7.630491850421455,CASCI,6.056259493902871e-09,3.800357338759497e-06,True,96,True,,,6,62,-6.494456033402351,0.171741366997594,3.023535284999525,3.2934077310055727
