molecule,run_label,noise_source,backend_name,shots,basis,distance,mapper,ansatz,reps,optimizer,max_iter,seed,active_space,active_orbitals,freeze_core,energy,reference_energy,reference_method,fci_energy,abs_error_hartree,abs_error_kcal_mol,within_chemical_accuracy,vqe_raw_energy,eval_count,success,error,num_qubits,num_terms,constant_energy,setup_hamiltonian_s,vqe_execution_s,total_experiment_s
LiH,statevector,,,,sto-3g,1.0,jw,real_amplitudes,1,cobyla,100,137,"[2, 3]","[0, 1, 2]",True,-7.7167903931871935,-7.76862176803279,CASCI,-7.76862176803279,0.0518313748455963,32.52465419798529,False,-1.1070056220496534,100,True,,6,62,-6.60978477113754,0.41009169300377835,1.335685251004179,1.7546410569921136
LiH,statevector,,,,sto-3g,1.0,jw,real_amplitudes,1,slsqp,100,137,"[2, 3]","[0, 1, 2]",True,-7.7673615186527165,-7.76862176803279,CASCI,-7.76862176803279,0.0012602493800732972,0.7908178282404147,True,-1.1575767475151664,602,True,,6,62,-6.609784771137551,3.911385779007105,6.704951360996347,10.619851996001671
LiH,statevector,,,,sto-3g,1.0,jw,real_amplitudes,1,spsa,100,137,"[2, 3]","[0, 1, 2]",True,-7.686700758663679,-7.76862176803279,CASCI,-7.76862176803279,0.08192100936911118,51.40617066820158,False,-1.0769159875261387,200,True,,6,62,-6.60978477113754,0.42110198800219223,2.338373929000227,2.7617831230018055
LiH,statevector,,,,sto-3g,1.0,jw,real_amplitudes,2,cobyla,100,137,"[2, 3]","[0, 1, 2]",True,-7.723918457252747,-7.76862176803279,CASCI,-7.76862176803279,0.04470331078004275,28.051729844273847,False,-1.1141336861152022,100,True,,6,62,-6.609784771137545,0.46197810300509445,1.4554725289926864,1.9214113250054652
LiH,statevector,,,,sto-3g,1.0,jw,real_amplitudes,2,slsqp,100,137,"[2, 3]","[0, 1, 2]",True,-7.767361436466887,-7.76862176803279,CASCI,-7.76862176803279,0.0012603315659029946,0.7908694005882222,True,-1.1575766653293453,741,True,,6,62,-6.609784771137542,0.44374420000531245,8.774888312997064,9.22136025200598
LiH,statevector,,,,sto-3g,1.0,jw,real_amplitudes,2,spsa,100,137,"[2, 3]","[0, 1, 2]",True,-7.638713023645434,-7.76862176803279,CASCI,-7.76862176803279,0.12990874438735567,81.51890628176517,False,-1.0289282525078889,200,True,,6,62,-6.609784771137545,0.37355661499896087,2.7138169079989893,3.089772710998659
LiH,statevector,,,,sto-3g,1.0,jw,efficient_su2,1,cobyla,100,137,"[2, 3]","[0, 1, 2]",True,-7.60957738516396,-7.76862176803279,CASCI,-7.76862176803279,0.15904438286882971,99.80178164963647,False,-0.9997926140264111,100,True,,6,62,-6.609784771137549,0.4458084229991073,1.659233969010529,2.1097757739917142
LiH,statevector,,,,sto-3g,1.0,jw,efficient_su2,1,slsqp,100,137,"[2, 3]","[0, 1, 2]",True,-7.767359458913544,-7.76862176803279,CASCI,-7.76862176803279,0.0012623091192454083,0.7921103331085669,True,-1.157574687776005,700,True,,6,62,-6.60978477113754,0.39542585000162944,9.394857431994751,9.79339613999764
LiH,statevector,,,,sto-3g,1.0,jw,efficient_su2,1,spsa,100,137,"[2, 3]","[0, 1, 2]",True,-7.715716866200598,-7.76862176803279,CASCI,-7.76862176803279,0.052904901832191875,33.198302043816895,False,-1.1059320950630576,200,True,,6,62,-6.60978477113754,0.41059502901043743,2.7801148849976016,3.1934100670041516
LiH,statevector,,,,sto-3g,1.0,jw,efficient_su2,2,cobyla,100,137,"[2, 3]","[0, 1, 2]",True,-7.593839025702637,-7.76862176803279,CASCI,-7.76862176803279,0.17478274233015245,109.67774385685163,False,-0.9840542545650939,100,True,,6,62,-6.6097847711375435,0.3386781729932409,1.785850145999575,2.1289025970036164
LiH,statevector,,,,sto-3g,1.0,jw,efficient_su2,2,slsqp,100,137,"[2, 3]","[0, 1, 2]",True,-7.768519473885622,-7.76862176803279,CASCI,-7.76862176803279,0.00010229414716800278,0.06419049799524626,True,-1.1587347027480717,2406,True,,6,62,-6.609784771137551,0.40193547699891496,35.56332281199866,35.96876663499279
LiH,statevector,,,,sto-3g,1.0,jw,efficient_su2,2,spsa,100,137,"[2, 3]","[0, 1, 2]",True,-7.702313037198429,-7.76862176803279,CASCI,-7.76862176803279,0.0663087308343604,41.60932537713866,False,-1.0925282660608768,200,True,,6,62,-6.609784771137552,0.5484667669952614,2.8090469799935818,3.362626004993217
LiH,statevector,,,,sto-3g,1.2,jw,real_amplitudes,1,cobyla,100,137,"[2, 3]","[0, 1, 2]",True,-7.827864938506503,-7.836736441317111,CASCI,-7.836736441317111,0.008871502810608334,5.566947857182025,False,-1.133114931822827,100,True,,6,62,-6.694750006683676,0.5340955760038923,1.3590556179988198,1.8953086680121487
LiH,statevector,,,,sto-3g,1.2,jw,real_amplitudes,1,slsqp,100,137,"[2, 3]","[0, 1, 2]",True,-7.835615581380559,-7.836736441317111,CASCI,-7.836736441317111,0.0011208599365524208,0.703349697926073,True,-1.1408655746968903,812,True,,6,62,-6.694750006683669,0.3104050910042133,8.701491835992783,9.01409077300923
LiH,statevector,,,,sto-3g,1.2,jw,real_amplitudes,1,spsa,100,137,"[2, 3]","[0, 1, 2]",True,-7.761718397654953,-7.836736441317111,CASCI,-7.836736441317111,0.07501804366215836,47.07449756039733,False,-1.0669683909712837,200,True,,6,62,-6.694750006683669,0.5278568420035299,2.0974786519946065,2.6274765739944996
LiH,statevector,,,,sto-3g,1.2,jw,real_amplitudes,2,cobyla,100,137,"[2, 3]","[0, 1, 2]",True,-7.803127894189307,-7.836736441317111,CASCI,-7.836736441317111,0.03360854712780359,21.089665799620903,False,-1.10837788750564,100,True,,6,62,-6.694750006683667,0.42750029799935874,1.3464440239913529,1.7769348120054929
LiH,statevector,,,,sto-3g,1.2,jw,real_amplitudes,2,slsqp,100,137,"[2, 3]","[0, 1, 2]",True,-7.835615026473857,-7.836736441317111,CASCI,-7.836736441317111,0.0011214148432543425,0.7036979068756892,True,-1.1408650197901826,722,True,,6,62,-6.694750006683674,0.4049194770050235,8.15371280501131,8.560899977994268
LiH,statevector,,,,sto-3g,1.2,jw,real_amplitudes,2,spsa,100,137,"[2, 3]","[0, 1, 2]",True,-7.642264177968865,-7.836736441317111,CASCI,-7.836736441317111,0.19447226334824563,122.03309550139427,False,-0.9475141712851964,200,True,,6,62,-6.694750006683669,0.43733797999448143,2.2589225620031357,2.698617832007585
LiH,statevector,,,,sto-3g,1.2,jw,efficient_su2,1,cobyla,100,137,"[2, 3]","[0, 1, 2]",True,-7.684068258942236,-7.836736441317111,CASCI,-7.836736441317111,0.15266818237487456,95.80065845387516,False,-0.9893182522585643,100,True,,6,62,-6.694750006683672,0.39147249500092585,1.4168467720010085,1.8113615089969244
