molecule,basis,run_label,distance,mapper,ansatz,reps,optimizer,max_iter,seed,energy,reference_energy,reference_method,abs_error_hartree,abs_error_kcal_mol,within_chemical_accuracy,eval_count,success,error,error_type,num_qubits,num_terms,constant_energy,total_experiment_s
LiH,sto-3g,presentation_range_curve_sto3g,0.8125,jw,puccsd,1,slsqp,100,137,-7.630491796847311,-7.630491850421455,CASCI,5.35741442320159e-08,3.361825767288806e-05,True,60,True,,,6,62,-6.494456033402491,2.1213218120101374
LiH,sto-3g,presentation_range_curve_sto3g,1.2228535353535357,jw,puccsd,1,slsqp,100,137,-7.841272160461928,-7.841272714794425,CASCI,5.543324963497298e-07,0.0003478486304519226,True,53,True,,,6,62,-6.702807922713716,1.9508053390018176
LiH,sto-3g,presentation_range_curve_sto3g,1.6332070707070707,jw,puccsd,1,slsqp,100,137,-7.861670464496675,-7.861670487476831,CASCI,2.2980155556240334e-08,1.4420254432940815e-05,True,66,True,,,6,62,-6.810752398034159,2.310454780992586
LiH,sto-3g,presentation_range_curve_sto3g,2.125631313131313,jw,puccsd,1,slsqp,100,137,-7.818342729194986,-7.818342898072744,CASCI,1.6887775800000782e-07,0.00010597231304482691,True,90,True,,,6,62,-6.886117063563996,4.72391102599795
LiH,sto-3g,presentation_range_curve_sto3g,2.5359848484848486,jw,puccsd,1,slsqp,100,137,-7.7700551743844715,-7.77005523335791,CASCI,5.897343857697024e-08,3.700636346799602e-05,True,57,True,,,6,62,-6.926528554015258,2.1044035800005076
LiH,sto-3g,presentation_range_curve_sto3g,3.028409090909091,jw,puccsd,1,slsqp,100,137,-7.725495344239875,-7.725495895626483,CASCI,5.513866074835505e-07,0.0003460000586753953,True,71,True,,,6,62,-6.960534850911599,2.3535131579992594
LiH,sto-3g,presentation_range_curve_sto3g,3.47979797979798,jw,puccsd,1,slsqp,100,137,-7.720694898682695,-7.722221439061011,CASCI,0.0015265403783155662,0.9579178262564226,True,94,True,,,6,62,-6.983251043929821,2.9936201380041894
LiH,sto-3g,presentation_range_curve_sto3g,3.9722222222222223,jw,puccsd,1,slsqp,100,137,-7.742192532664102,-7.748108270983908,CASCI,0.005915738319806074,3.7121790373231898,False,90,True,,,6,62,-7.002144333631942,3.0773335170088103
LiH,sto-3g,presentation_range_curve_sto3g,4.423611111111111,jw,puccsd,1,slsqp,100,137,-7.760660651041692,-7.764660845964996,CASCI,0.004000194923303724,2.5101583161273964,False,116,True,,,6,62,-7.015764267749224,5.079228347996832
LiH,sto-3g,presentation_range_curve_sto3g,4.875,jw,puccsd,1,slsqp,100,137,-7.782151680209516,-7.782151959835916,CASCI,2.79626400256916e-07,0.00017546808279881709,True,70,True,,,6,62,-7.026881187208498,2.485687100997893
