system,distance,repeat,mode,energy,total_cost,exact_fullspace_fci,abs_error_vs_fci
BeH2,0.5,0,default,-9.488569969642064,60.0,-13.689960305740955,4.201390336098893
BeH2,0.5,0,fci_fullspace,-13.689960305740955,0.0,-13.689960305740955,0.0
BeH2,0.5,0,guided_fourier_arctan,-9.356996648212194,63.0,-13.689960305740955,4.332963657528762
BeH2,0.6538461538461539,0,default,-11.9202760104386,60.0,-14.680937883486084,2.7606618730474857
BeH2,0.6538461538461539,0,fci_fullspace,-14.680937883486084,0.0,-14.680937883486084,0.0
BeH2,0.6538461538461539,0,guided_fourier_arctan,-11.622041990196909,63.0,-14.680937883486084,3.0588958932891757
BeH2,0.8076923076923077,0,default,-12.150932246699902,60.0,-15.190877705048422,3.0399454583485195
BeH2,0.8076923076923077,0,fci_fullspace,-15.190877705048422,0.0,-15.190877705048422,0.0
BeH2,0.8076923076923077,0,guided_fourier_arctan,-11.966197861053791,63.0,-15.190877705048422,3.224679843994629
BeH2,0.9615384615384616,0,default,-12.745937663027208,60.0,-15.443491944235694,2.697554281208486
BeH2,0.9615384615384616,0,fci_fullspace,-15.443491944235694,0.0,-15.443491944235694,0.0
BeH2,0.9615384615384616,0,guided_fourier_arctan,-12.8051740511411,63.0,-15.443491944235694,2.6383178930945945
BeH2,1.1153846153846154,0,default,-13.269099838142669,60.0,-15.556771868491062,2.287672030348393
BeH2,1.1153846153846154,0,fci_fullspace,-15.556771868491062,0.0,-15.556771868491062,0.0
BeH2,1.1153846153846154,0,guided_fourier_arctan,-13.678587098854134,63.0,-15.556771868491062,1.8781847696369276
H2,0.5,0,default,-1.0551597942146669,36.0,-1.0551597944706257,2.559588097028609e-10
H2,0.5,0,fci_fullspace,-1.0551597944706257,0.0,-1.0551597944706257,0.0
H2,0.5,0,guided_fourier_arctan,-1.0551597944706237,32.0,-1.0551597944706257,2.220446049250313e-15
H2,0.6538461538461539,0,default,-1.1306196103214954,41.0,-1.1306196124696406,2.148145217262254e-09
H2,0.6538461538461539,0,fci_fullspace,-1.1306196124696406,0.0,-1.1306196124696406,0.0
H2,0.6538461538461539,0,guided_fourier_arctan,-1.1306196124696388,32.0,-1.1306196124696406,1.7763568394002505e-15
H2,0.8076923076923077,0,default,-1.133418007271212,38.0,-1.1334180073912146,1.2000267446410362e-10
H2,0.8076923076923077,0,fci_fullspace,-1.1334180073912146,0.0,-1.1334180073912146,0.0
H2,0.8076923076923077,0,guided_fourier_arctan,-1.133418007391214,32.0,-1.1334180073912146,4.440892098500626e-16
H2,0.9615384615384616,0,default,-1.1090599319688397,39.0,-1.109059932134118,1.6527845758673718e-10
H2,0.9615384615384616,0,fci_fullspace,-1.109059932134118,0.0,-1.109059932134118,0.0
H2,0.9615384615384616,0,guided_fourier_arctan,-1.1090599321341168,32.0,-1.109059932134118,1.3322676295501878e-15
H2,1.1153846153846154,0,default,-1.0757300413041675,36.0,-1.0757300413202402,1.6072476682893466e-11
H2,1.1153846153846154,0,fci_fullspace,-1.0757300413202402,0.0,-1.0757300413202402,0.0
H2,1.1153846153846154,0,guided_fourier_arctan,-1.0757300413202389,32.0,-1.0757300413202402,1.3322676295501878e-15
H2,1.2692307692307692,0,default,-1.041658503077284,32.0,-1.0416585033730488,2.9576474602777115e-10
H2,1.2692307692307692,0,fci_fullspace,-1.0416585033730488,0.0,-1.0416585033730488,0.0
H2,1.2692307692307692,0,guided_fourier_arctan,-1.041658503373048,32.0,-1.0416585033730488,8.881784197001252e-16
LiH,0.5,0,default,-5.861478364665446,60.0,-7.050225035299951,1.1887466706345045
LiH,0.5,0,fci_fullspace,-7.050225035299951,0.0,-7.050225035299951,0.0
LiH,0.5,0,guided_fourier_arctan,-6.16183062714769,63.0,-7.050225035299951,0.8883944081522603
LiH,0.6538461538461539,0,default,-6.818403408819997,60.0,-7.427656264844038,0.6092528560240407
LiH,0.6538461538461539,0,fci_fullspace,-7.427656264844038,0.0,-7.427656264844038,0.0
LiH,0.6538461538461539,0,guided_fourier_arctan,-6.6147295962389565,63.0,-7.427656264844038,0.8129266686050816
LiH,0.8076923076923077,0,default,-6.566235063116856,60.0,-7.642275028539799,1.0760399654229431
LiH,0.8076923076923077,0,fci_fullspace,-7.642275028539799,0.0,-7.642275028539799,0.0
LiH,0.8076923076923077,0,guided_fourier_arctan,-6.683321164067391,63.0,-7.642275028539799,0.9589538644724076
LiH,0.9615384615384616,0,default,-6.877536827326662,60.0,-7.763735120911748,0.8861982935850854
LiH,0.9615384615384616,0,fci_fullspace,-7.763735120911748,0.0,-7.763735120911748,0.0
LiH,0.9615384615384616,0,guided_fourier_arctan,-6.968308661707781,63.0,-7.763735120911748,0.7954264592039664
LiH,1.1153846153846154,0,default,-6.908240214800902,60.0,-7.83048017851757,0.9222399637166684
LiH,1.1153846153846154,0,fci_fullspace,-7.83048017851757,0.0,-7.83048017851757,0.0
LiH,1.1153846153846154,0,guided_fourier_arctan,-6.572371657316667,63.0,-7.83048017851757,1.2581085212009029
LiH,1.2692307692307692,0,default,-6.64236926441024,60.0,-7.864897135085545,1.2225278706753056
LiH,1.2692307692307692,0,fci_fullspace,-7.864897135085545,0.0,-7.864897135085545,0.0
LiH,1.2692307692307692,0,guided_fourier_arctan,-6.3540871862562955,63.0,-7.864897135085545,1.51080994882925
