max_iter,system,distance,repeat,mode,eval_count,guide_cost,total_cost,energy,exact_total,abs_error_vs_fci,robust_amp,robust_guided_used
25,BeH2,0.5,0,default,25,0,25.0,-13.558078350189326,-13.667143209581795,0.10906485939246835,0.0,
25,BeH2,0.5,0,guided_fourier_robust,25,9,34.0,-13.572230634055792,-13.667143209581795,0.09491257552600274,0.42182292450771913,True
25,BeH2,0.5,1,default,25,0,25.0,-13.595308725417574,-13.667143209581795,0.07183448416422067,0.0,
25,BeH2,0.5,1,guided_fourier_robust,25,9,34.0,-13.564676637181602,-13.667143209581795,0.10246657240019275,0.19839069322417888,True
25,BeH2,0.5,2,default,25,0,25.0,-13.281926579450529,-13.667143209581795,0.38521663013126606,0.0,
25,BeH2,0.5,2,guided_fourier_robust,25,9,34.0,-13.454484265209327,-13.667143209581795,0.21265894437246757,0.6474088029790702,True
25,BeH2,0.6538461538461539,0,default,25,0,25.0,-14.51777812833107,-14.661808505536182,0.14403037720511236,0.0,
25,BeH2,0.6538461538461539,0,guided_fourier_robust,25,9,34.0,-14.551027994192209,-14.661808505536182,0.11078051134397349,0.41857295261603616,True
25,BeH2,0.6538461538461539,1,default,25,0,25.0,-14.562310959300001,-14.661808505536182,0.09949754623618112,0.0,
25,BeH2,0.6538461538461539,1,guided_fourier_robust,25,9,34.0,-14.54469346682447,-14.661808505536182,0.11711503871171303,0.21692617595481653,True
25,BeH2,0.6538461538461539,2,default,25,0,25.0,-14.122467006661223,-14.661808505536182,0.5393414988749594,0.0,
25,BeH2,0.6538461538461539,2,guided_fourier_robust,25,9,34.0,-14.380126804764291,-14.661808505536182,0.28168170077189103,0.5820185393774769,True
25,BeH2,0.8076923076923077,0,default,25,0,25.0,-14.974789532673345,-15.173426007815952,0.19863647514260663,0.0,
25,BeH2,0.8076923076923077,0,guided_fourier_robust,25,9,34.0,-15.020670518755022,-15.173426007815952,0.1527554890609295,0.4343355298720922,True
25,BeH2,0.8076923076923077,1,default,25,0,25.0,-15.079655344130774,-15.173426007815952,0.09377066368517717,0.0,
25,BeH2,0.8076923076923077,1,guided_fourier_robust,25,9,34.0,-15.069772377169752,-15.173426007815952,0.1036536306461997,0.24465352488740796,True
25,BeH2,0.8076923076923077,2,default,25,0,25.0,-14.530224633390716,-15.173426007815952,0.6432013744252352,0.0,
25,BeH2,0.8076923076923077,2,guided_fourier_robust,25,9,34.0,-14.796837750112601,-15.173426007815952,0.37658825770335014,0.5187266318886529,True
25,BeH2,0.9615384615384616,0,default,25,0,25.0,-15.217417125850485,-15.425201817554711,0.20778469170422653,0.0,
25,BeH2,0.9615384615384616,0,guided_fourier_robust,25,9,34.0,-15.259695768850786,-15.425201817554711,0.16550604870392505,0.4482377371580573,True
25,BeH2,0.9615384615384616,1,default,25,0,25.0,-15.337399426698891,-15.425201817554711,0.08780239085582053,0.0,
25,BeH2,0.9615384615384616,1,guided_fourier_robust,25,9,34.0,-15.322429761928147,-15.425201817554711,0.10277205562656455,0.26243080260361057,True
25,BeH2,0.9615384615384616,2,default,25,0,25.0,-14.874321089400688,-15.425201817554711,0.5508807281540236,0.0,
25,BeH2,0.9615384615384616,2,guided_fourier_robust,25,9,34.0,-15.008176222013676,-15.425201817554711,0.4170255955410358,0.466920274015141,True
25,H2,0.5,0,default,25,0,25.0,-1.0551597877159964,-1.055159794470623,6.754626635796512e-09,0.0,
25,H2,0.5,0,guided_fourier_robust,25,9,34.0,-1.0551595743667244,-1.055159794470623,2.2010389866267133e-07,1.1783227709084816,True
25,H2,0.5,1,default,25,0,25.0,-1.0551544143011984,-1.055159794470623,5.380169424640258e-06,0.0,
25,H2,0.5,1,guided_fourier_robust,25,9,34.0,-1.0551519416420543,-1.055159794470623,7.85282856874403e-06,1.178322770908482,True
25,H2,0.5,2,default,25,0,25.0,-1.0551597874869179,-1.055159794470623,6.983705169716359e-09,0.0,
25,H2,0.5,2,guided_fourier_robust,25,9,34.0,-1.0551597876720782,-1.055159794470623,6.798544838204634e-09,1.1783227709084816,True
25,H2,0.6538461538461539,0,default,25,0,25.0,-1.130619303244814,-1.1306196124696388,3.0922482485706837e-07,0.0,
25,H2,0.6538461538461539,0,guided_fourier_robust,25,9,34.0,-1.1306194511738359,-1.1306196124696388,1.6129580293622325e-07,0.9222882409168853,True
25,H2,0.6538461538461539,1,default,25,0,25.0,-1.130619568449239,-1.1306196124696388,4.402039976980632e-08,0.0,
25,H2,0.6538461538461539,1,guided_fourier_robust,25,9,34.0,-1.1306193393440127,-1.1306196124696388,2.731256261157e-07,0.9222882409168857,True
25,H2,0.6538461538461539,2,default,25,0,25.0,-1.13061951482356,-1.1306196124696388,9.764607877826847e-08,0.0,
25,H2,0.6538461538461539,2,guided_fourier_robust,25,9,34.0,-1.1306195865962638,-1.1306196124696388,2.587337499804221e-08,0.9222882409168855,True
25,H2,0.8076923076923077,0,default,25,0,25.0,-1.1334179953456816,-1.1334180073912137,1.204553212730275e-08,0.0,
25,H2,0.8076923076923077,0,guided_fourier_robust,25,9,34.0,-1.1334167839969065,-1.1334180073912137,1.223394307192649e-06,0.7352101732648479,True
25,H2,0.8076923076923077,1,default,25,0,25.0,-1.133416202731849,-1.1334180073912137,1.8046593646126041e-06,0.0,
25,H2,0.8076923076923077,1,guided_fourier_robust,25,9,34.0,-1.1334179559705069,-1.1334180073912137,5.142070680363986e-08,0.7352101732648483,True
25,H2,0.8076923076923077,2,default,25,0,25.0,-1.1334179946316505,-1.1334180073912137,1.2759563183806222e-08,0.0,
25,H2,0.8076923076923077,2,guided_fourier_robust,25,9,34.0,-1.1334180064565857,-1.1334180073912137,9.346279306043925e-10,0.735210173264848,True
