max_iter,system,distance,repeat,mode,eval_count,guide_cost,total_cost,energy,exact_total,abs_error_vs_fci,robust_amp,robust_guided_used
25,BeH2,0.5,0,default,25,0,25.0,-13.558078350189309,-13.667143209581784,0.10906485939247546,0.0,
25,BeH2,0.5,0,guided_fourier_robust,25,9,34.0,-13.572230634055776,-13.667143209581784,0.09491257552600807,0.42182292450772074,True
25,BeH2,0.5,1,default,25,0,25.0,-13.595308725417564,-13.667143209581784,0.07183448416422067,0.0,
25,BeH2,0.5,1,guided_fourier_robust,25,9,34.0,-13.564676637181588,-13.667143209581784,0.1024665724001963,0.19839069322417888,True
25,H2,0.5,0,default,25,0,25.0,-1.0551597877159964,-1.055159794470623,6.754626635796512e-09,0.0,
25,H2,0.5,0,guided_fourier_robust,25,9,34.0,-1.0551595743667244,-1.055159794470623,2.2010389866267133e-07,1.1783227709084816,True
25,H2,0.5,1,default,25,0,25.0,-1.0551544143011984,-1.055159794470623,5.380169424640258e-06,0.0,
25,H2,0.5,1,guided_fourier_robust,25,9,34.0,-1.0551519416420543,-1.055159794470623,7.85282856874403e-06,1.178322770908482,True
25,H2,0.6538461538461539,0,default,25,0,25.0,-1.130619303244814,-1.1306196124696388,3.0922482485706837e-07,0.0,
25,H2,0.6538461538461539,0,guided_fourier_robust,25,9,34.0,-1.1306194511738359,-1.1306196124696388,1.6129580293622325e-07,0.9222882409168853,True
25,H2,0.6538461538461539,1,default,25,0,25.0,-1.130619568449239,-1.1306196124696388,4.402039976980632e-08,0.0,
25,H2,0.6538461538461539,1,guided_fourier_robust,25,9,34.0,-1.1306193393440127,-1.1306196124696388,2.731256261157e-07,0.9222882409168857,True
25,LiH,0.5,0,default,25,0,25.0,-6.996547753344071,-7.03379592986952,0.03724817652544843,0.0,
25,LiH,0.5,0,guided_fourier_robust,25,9,34.0,-6.997739533183335,-7.03379592986952,0.036056396686184655,0.304998269128493,True
25,LiH,0.5,1,default,25,0,25.0,-6.990122664393968,-7.03379592986952,0.04367326547555184,0.0,
25,LiH,0.5,1,guided_fourier_robust,25,9,34.0,-6.967950985234258,-7.03379592986952,0.0658449446352618,0.09772864757802556,True
25,LiH,0.6538461538461539,0,default,25,0,25.0,-7.359346549071395,-7.410554190427815,0.0512076413564202,0.0,
25,LiH,0.6538461538461539,0,guided_fourier_robust,25,9,34.0,-7.352348169556279,-7.410554190427815,0.05820602087153581,0.33152716164289947,True
25,LiH,0.6538461538461539,1,default,25,0,25.0,-7.38319307232892,-7.410554190427815,0.027361118098895076,0.0,
25,LiH,0.6538461538461539,1,guided_fourier_robust,25,9,34.0,-7.374746258395499,-7.410554190427815,0.03580793203231636,0.12256507699338214,True
50,BeH2,0.5,0,default,50,0,50.0,-13.432693707639668,-13.667143209581806,0.23444950194213732,0.0,
50,BeH2,0.5,0,guided_fourier_robust,50,9,59.0,-13.61420538886749,-13.667143209581806,0.052937820714316075,0.754373367305595,True
50,BeH2,0.5,1,default,50,0,50.0,-13.586828497966463,-13.667143209581806,0.0803147116153422,0.0,
50,BeH2,0.5,1,guided_fourier_robust,50,9,59.0,-13.61102893086328,-13.667143209581806,0.0561142787185247,1.35602526813868,True
50,H2,0.5,0,default,37,0,37.0,-1.0551597937918673,-1.055159794470623,6.787557182974524e-10,0.0,
50,H2,0.5,0,guided_fourier_robust,32,9,41.0,-1.0551597932570769,-1.055159794470623,1.2135461524565017e-09,1.1783227709084816,True
50,H2,0.5,1,default,37,0,37.0,-1.055159791154989,-1.055159794470623,3.315633989586786e-09,0.0,
50,H2,0.5,1,guided_fourier_robust,36,9,45.0,-1.055159793080824,-1.055159794470623,1.3897989425970536e-09,1.1783227709084816,True
50,H2,0.6538461538461539,0,default,35,0,35.0,-1.1306196124527421,-1.1306196124696388,1.6896706256375182e-11,0.0,
50,H2,0.6538461538461539,0,guided_fourier_robust,33,9,42.0,-1.1306196111237692,-1.1306196124696388,1.3458696379586854e-09,0.9222882409168855,True
50,H2,0.6538461538461539,1,default,31,0,31.0,-1.1306196124696322,-1.1306196124696388,6.661338147750939e-15,0.0,
50,H2,0.6538461538461539,1,guided_fourier_robust,32,9,41.0,-1.1306196107237971,-1.1306196124696388,1.7458416934346133e-09,0.9222882409168853,True
50,LiH,0.5,0,default,50,0,50.0,-7.001460541728097,-7.033795929869536,0.03233538814143877,0.0,
50,LiH,0.5,0,guided_fourier_robust,50,9,59.0,-7.0095790460947915,-7.033795929869536,0.02421688377474407,0.5100491410563451,True
50,LiH,0.5,1,default,50,0,50.0,-7.012833724755034,-7.033795929869536,0.02096220511450131,0.0,
50,LiH,0.5,1,guided_fourier_robust,50,9,59.0,-7.008981444122782,-7.033795929869536,0.024814485746754045,0.01243533087222549,True
50,LiH,0.6538461538461539,0,default,50,0,50.0,-7.37530047118452,-7.4105541904278205,0.03525371924330045,0.0,
50,LiH,0.6538461538461539,0,guided_fourier_robust,50,9,59.0,-7.36941415983734,-7.4105541904278205,0.04114003059048077,0.5458960706506643,True
50,LiH,0.6538461538461539,1,default,50,0,50.0,-7.390258406699578,-7.4105541904278205,0.020295783728242256,0.0,
50,LiH,0.6538461538461539,1,guided_fourier_robust,50,9,59.0,-7.388351083364855,-7.4105541904278205,0.0222031070629658,0.012365422910321673,True
100,BeH2,0.5,0,default,100,0,100.0,-13.598088524427023,-13.667143209581802,0.06905468515477864,0.0,
100,BeH2,0.5,0,guided_fourier_robust,100,9,109.0,-13.621287723369907,-13.667143209581802,0.04585548621189517,0.8305569727540763,True
100,BeH2,0.5,1,default,100,0,100.0,-13.589578443664122,-13.667143209581802,0.07756476591768013,0.0,
100,BeH2,0.5,1,guided_fourier_robust,100,9,109.0,-13.597411020253528,-13.667143209581802,0.06973218932827407,0.9410420370529584,True
100,H2,0.5,0,default,34,0,34.0,-1.0551597942870556,-1.055159794470623,1.8356738351599233e-10,0.0,
100,H2,0.5,0,guided_fourier_robust,36,9,45.0,-1.0551597942444386,-1.055159794470623,2.261844045392536e-10,1.1783227709084818,True
100,H2,0.5,1,default,38,0,38.0,-1.0551597941406585,-1.055159794470623,3.299645001675344e-10,0.0,
100,H2,0.5,1,guided_fourier_robust,40,9,49.0,-1.055159792564426,-1.055159794470623,1.9061969780409527e-09,1.1783227709084816,True
100,H2,0.6538461538461539,0,default,33,0,33.0,-1.1306196107230706,-1.1306196124696388,1.746568223381928e-09,0.0,
100,H2,0.6538461538461539,0,guided_fourier_robust,31,9,40.0,-1.1306196115369826,-1.1306196124696388,9.326561745126583e-10,0.9222882409168853,True
100,H2,0.6538461538461539,1,default,34,0,34.0,-1.1306196123009928,-1.1306196124696388,1.6864598606503023e-10,0.0,
100,H2,0.6538461538461539,1,guided_fourier_robust,43,9,52.0,-1.1306196123490633,-1.1306196124696388,1.205755495448102e-10,0.9222882409168855,True
100,LiH,0.5,0,default,100,0,100.0,-6.990954750901607,-7.0337959298695045,0.04284117896789752,0.0,
100,LiH,0.5,0,guided_fourier_robust,100,9,109.0,-7.0142899242481995,-7.0337959298695045,0.019506005621305,0.02511084440018724,True
100,LiH,0.5,1,default,100,0,100.0,-6.9945998102607785,-7.0337959298695045,0.03919611960872604,0.0,
100,LiH,0.5,1,guided_fourier_robust,100,9,109.0,-7.01373246766425,-7.0337959298695045,0.0200634622052549,0.07214524307685458,True
100,LiH,0.6538461538461539,0,default,100,0,100.0,-7.386665582068357,-7.410554190427823,0.023888608359466268,0.0,
