atom,active_space,freeze_core,z2,use_num_particles,num_qubits,num_terms,intersection,only_paper,only_local,mae_common,score,status
Li 0 0 0; H 0 0 1.45,"(2, 4)",False,True,False,4.0,62.0,49,50,13.0,0.06480315000294981,143.48031500029498,ok
Li 0 0 0; H 0 0 1.45,"(2, 4)",False,True,True,4.0,62.0,49,50,13.0,0.06480315000294981,143.48031500029498,ok
Li 0 0 0; H 0 0 1.45,"(2, 4)",True,True,False,4.0,62.0,49,50,13.0,0.06480315000295034,143.48031500029504,ok
Li 0 0 0; H 0 0 1.45,"(2, 4)",True,True,True,4.0,62.0,49,50,13.0,0.06480315000295034,143.48031500029504,ok
Li 0 0 0; H 0 0 1.50,"(2, 4)",False,True,False,4.0,62.0,49,50,13.0,0.06501790943604412,143.50179094360442,ok
Li 0 0 0; H 0 0 1.50,"(2, 4)",False,True,True,4.0,62.0,49,50,13.0,0.06501790943604412,143.50179094360442,ok
Li 0 0 0; H 0 0 1.50,"(2, 4)",True,True,False,4.0,62.0,49,50,13.0,0.06501790943604646,143.50179094360465,ok
Li 0 0 0; H 0 0 1.50,"(2, 4)",True,True,True,4.0,62.0,49,50,13.0,0.06501790943604646,143.50179094360465,ok
Li 0 0 0; H 0 0 1.55,"(2, 4)",True,True,False,4.0,62.0,49,50,13.0,0.06522600577112223,143.52260057711223,ok
Li 0 0 0; H 0 0 1.55,"(2, 4)",True,True,True,4.0,62.0,49,50,13.0,0.06522600577112224,143.52260057711223,ok
Li 0 0 0; H 0 0 1.55,"(2, 4)",False,True,False,4.0,62.0,49,50,13.0,0.06522600577112223,143.52260057711223,ok
Li 0 0 0; H 0 0 1.55,"(2, 4)",False,True,True,4.0,62.0,49,50,13.0,0.06522600577112224,143.52260057711223,ok
Li 0 0 0; H 0 0 1.5949,"(2, 4)",True,True,False,4.0,62.0,49,50,13.0,0.06540743684701623,143.54074368470162,ok
Li 0 0 0; H 0 0 1.5949,"(2, 4)",True,True,True,4.0,62.0,49,50,13.0,0.06540743684701623,143.54074368470162,ok
Li 0 0 0; H 0 0 1.5949,"(2, 4)",False,True,False,4.0,62.0,49,50,13.0,0.06540743684701983,143.540743684702,ok
Li 0 0 0; H 0 0 1.5949,"(2, 4)",False,True,True,4.0,62.0,49,50,13.0,0.06540743684701983,143.540743684702,ok
Li 0 0 0; H 0 0 1.60,"(2, 4)",False,True,False,4.0,62.0,49,50,13.0,0.06542772658819011,143.54277265881902,ok
Li 0 0 0; H 0 0 1.60,"(2, 4)",False,True,True,4.0,62.0,49,50,13.0,0.06542772658819011,143.54277265881902,ok
Li 0 0 0; H 0 0 1.60,"(2, 4)",True,True,False,4.0,62.0,49,50,13.0,0.06542772658819317,143.54277265881933,ok
